date,region,price_index,CLS_ID,CLS_NM,CLS_FULLNM,WRTTIME_DESC,WRTTIME_IDTFR_ID,mom_pct,yoy_pct,base_rate,loan_rate,household_loan,price_yoy,loan_yoy,base_rate_lag3,loan_rate_lag3,construction_start_area_sqm,completion_proxy_sqm,completion_proxy_yoy,sale_listings,jeonse_listings,wolse_listings,total_listings,sale_share_pct,total_listings_yoy,sale_listings_yoy
2017-07-01,서울,97.7134968544175,500007,서울,서울,2017년 7월,201707,2.577070786091773,11.162521888181631,1.25,1.48,635026.2,11.162521888181631,7.290665962012888,1.25,1.48,9906057.0,12155105.861244392,25.046862304235272,,,,,,,
2017-08-01,서울,98.0295054555908,500007,서울,서울,2017년 8월,201708,0.3234032261112407,9.934227041779575,1.25,1.48,640923.0,9.934227041779575,6.961011114934634,1.25,1.48,11399677.0,12272347.615543988,24.140402412700922,,,,,,,
2017-09-01,서울,98.2501913167343,500007,서울,서울,2017년 9월,201709,0.2251218754168782,8.73456905970671,1.25,1.53,645459.2,8.73456905970671,6.877554129327534,1.25,1.49,11405811.0,12355592.227586532,22.744893117117094,,,,,,,
2017-10-01,서울,99.3509229048414,500007,서울,서울,2017년 10월,201710,1.120335312690246,8.51648274778023,1.25,1.63,651249.3,8.51648274778023,6.859071725526866,1.25,1.48,8765662.0,12406064.345269253,20.89540726198016,,,,,,,
2017-11-01,서울,100.0,500007,서울,서울,2017년 11월,201711,0.6533176302552235,8.966726459229047,1.5,1.79,657251.6,8.966726459229047,6.607923370297675,1.25,1.48,13288978.0,12426833.707989514,18.660876553917973,,,,,,,
2017-12-01,서울,100.956853580639,500007,서울,서울,2017년 12월,201712,0.9568535806390166,10.672379642757912,1.5,1.81,660677.8,10.672379642757912,7.006167435699795,1.25,1.53,11832347.0,12422067.574097795,16.136621852060173,,,,,,,
2018-01-01,서울,103.073786845004,500007,서울,서울,2018년 1월,201801,2.096869295430337,13.329853820671666,1.5,1.8,662924.0,13.329853820671666,7.734448829614604,1.25,1.63,8213988.0,12396319.838111605,13.430681048183235,,,,,,,
2018-02-01,서울,104.858315705149,500007,서울,서울,2018년 2월,201802,1.7313120190572515,15.260948242420191,1.5,1.8,665133.2,15.260948242420191,7.87556086085297,1.5,1.79,6982354.0,12354021.413470449,10.654030323205976,,,,,,,
2018-03-01,서울,106.195025410643,500007,서울,서울,2018년 3월,201803,1.2747770136349423,15.8403710269188,1.5,1.85,668858.6,15.8403710269188,8.146879311025025,1.5,1.81,13431681.0,12298771.335450316,7.907119790273409,,,,,,,
2018-04-01,서울,107.577917673234,500007,서울,서울,2018년 4월,201804,1.3022194375334584,17.026961114098693,1.5,1.82,673131.6,17.026961114098693,8.377644630108417,1.5,1.8,11498313.0,12233006.851316113,5.274528078109553,,,,,,,
